MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_NEW,VALUE_OLD
010,EINKBELEG,0072099649,0063045913,EKPO,010007209964900010,NETPR,U,      377.00,      183.00
010,EINKBELEG,0072099649,0063045913,EKPO,010007209964900010,NETWR,U,        377.00,        183.00
010,EINKBELEG,0072099649,0063045950,EKPO,010007209964900010,NETPR,U,      183.00,      377.00
010,EINKBELEG,0072099649,0063045950,EKPO,010007209964900010,NETWR,U,        183.00,        377.00
010,EINKBELEG,0072099492,0063048764,EKPO,010007209949200010,NETPR,U,    11936.31,    14300.00
010,EINKBELEG,0072099492,0063048764,EKPO,010007209949200010,NETWR,U,      11936.31,      14300.00
010,EINKBELEG,0072097679,0063056837,EKPO,010007209767900010,NETPR,U,     7000.00,    10000.00
010,EINKBELEG,0072097679,0063056837,EKPO,010007209767900010,NETWR,U,       7000.00,      10000.00
010,EINKBELEG,0072097996,0063056843,EKPO,010007209799600010,NETPR,U,     3839.29,     7678.58
010,EINKBELEG,0072097996,0063056843,EKPO,010007209799600010,NETWR,U,       3839.29,       7678.58
010,EINKBELEG,0072097996,0063056843,EKPO,010007209799600010,TWRKZ,U,,2
010,EINKBELEG,0072097996,0063056843,EKPO,010007209799600010,VRTKZ,U,,2
010,EINKBELEG,0072097996,0063057176,EKPO,010007209799600010,NETPR,U,     3849.27,     3839.29
010,EINKBELEG,0072097996,0063057176,EKPO,010007209799600010,NETWR,U,       3849.27,       3839.29
010,EINKBELEG,0072097679,0063058748,EKPO,010007209767900010,NETPR,U,     4000.00,     7000.00
010,EINKBELEG,0072097679,0063058748,EKPO,010007209767900010,NETWR,U,       4000.00,       7000.00
010,EINKBELEG,0072099649,0063069485,EKPO,010007209964900010,EREKZ,U,X,
010,EINKBELEG,0072099990,0063093633,EKPO,010007209999000010,NETPR,U,     1200.00,     1000.00
010,EINKBELEG,0072099990,0063093633,EKPO,010007209999000010,NETWR,U,       1200.00,       1000.00
010,EINKBELEG,0072099600,0063100349,EKPO,010007209960000020,NETPR,U,     9000.00,    10000.00
010,EINKBELEG,0072099600,0063100349,EKPO,010007209960000020,NETWR,U,       9000.00,      10000.00
010,EINKBELEG,4700001641,0063100359,EKPO,010470000164100010,NETPR,U,    50000.00,    30000.00
010,EINKBELEG,4700001641,0063100359,EKPO,010470000164100010,NETWR,U,      50000.00,      30000.00
010,EINKBELEG,0072099600,0063100313,EKPO,010007209960000020,NETPR,U,     7000.00,     9000.00
010,EINKBELEG,0072099600,0063100313,EKPO,010007209960000020,NETWR,U,       7000.00,       9000.00
