MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,UDATE,UTIME,TCODE
010,EINKBELEG,0072112916,0077244359,2022-12-23T00:00:00,1970-01-01T08:20:55,ME23N
010,EINKBELEG,0072112916,0077247617,2022-12-23T00:00:00,1970-01-01T10:39:38,ME23N
010,EINKBELEG,4700001196,0077531297,2023-01-13T00:00:00,1970-01-01T10:42:57,ME22N
010,EINKBELEG,4700001641,0076816305,2022-11-23T00:00:00,1970-01-01T07:33:20,ME22N
010,EINKBELEG,4700001402,0077684839,2023-01-24T00:00:00,1970-01-01T12:03:20,ME23N
010,EINKBELEG,4700001459,0076795679,2022-11-22T00:00:00,1970-01-01T08:43:55,ME22N
010,EINKBELEG,4700001474,0077415266,2023-01-05T00:00:00,1970-01-01T09:29:08,ME23N
010,EINKBELEG,4700001512,0078247278,2023-02-08T00:00:00,1970-01-01T12:52:58,ME22N
010,EINKBELEG,4700001545,0076519067,2022-10-26T00:00:00,1970-01-01T07:29:37,ME23N
010,EINKBELEG,4700001545,0077414432,2023-01-05T00:00:00,1970-01-01T09:14:55,ME23N
010,EINKBELEG,4700001551,0077051861,2022-12-08T00:00:00,1970-01-01T08:11:26,ME23N
010,EINKBELEG,4700001551,0077051880,2022-12-08T00:00:00,1970-01-01T08:13:31,ME23N
010,EINKBELEG,4700001551,0077414693,2023-01-05T00:00:00,1970-01-01T09:24:33,ME23N
010,EINKBELEG,0071154665,0052484558,2018-03-12T00:00:00,1970-01-01T13:01:33,ME23N
010,EINKBELEG,0071154665,0052484764,2018-03-12T00:00:00,1970-01-01T13:11:24,ME23N
010,EINKBELEG,0071154665,0052485339,2018-03-12T00:00:00,1970-01-01T13:38:25,ME23N
010,EINKBELEG,0071154665,0052485394,2018-03-12T00:00:00,1970-01-01T13:38:58,ME23N
010,EINKBELEG,0071154665,0060053987,2019-07-16T00:00:00,1970-01-01T15:15:14,ME23N
010,EINKBELEG,0071157024,0056345014,2018-12-20T00:00:00,1970-01-01T15:57:45,ME23N
010,EINKBELEG,0071157024,0056354168,2018-12-21T00:00:00,1970-01-01T07:39:35,ME23N
010,EINKBELEG,0071157024,0056355640,2018-12-21T00:00:00,1970-01-01T08:47:44,ME23N
010,EINKBELEG,0071157092,0056503618,2019-01-10T00:00:00,1970-01-01T11:49:27,ME23N
010,EINKBELEG,0071157092,0056516305,2019-01-11T00:00:00,1970-01-01T07:43:30,ME23N
010,EINKBELEG,0071157092,0056521573,2019-01-11T00:00:00,1970-01-01T10:49:08,ME23N
010,EINKBELEG,0071159957,0062674945,2019-12-17T00:00:00,1970-01-01T08:45:10,ME22N
010,EINKBELEG,0071159957,0062674991,2019-12-17T00:00:00,1970-01-01T08:47:48,ME29N
010,EINKBELEG,0071159957,0062675026,2019-12-17T00:00:00,1970-01-01T08:48:47,ME29N
010,EINKBELEG,0071159957,0062675051,2019-12-17T00:00:00,1970-01-01T08:53:33,ME29N
010,EINKBELEG,0071160672,0067585785,2020-11-03T00:00:00,1970-01-01T17:51:53,ME23N
010,EINKBELEG,0071160672,0067825863,2020-11-19T00:00:00,1970-01-01T13:01:20,ME23N
010,EINKBELEG,0071160672,0068297940,2020-12-22T00:00:00,1970-01-01T11:01:05,ME23N
010,EINKBELEG,0071160672,0068474303,2021-01-12T00:00:00,1970-01-01T08:22:08,ME23N
010,EINKBELEG,0071160694,0063232865,2020-01-31T00:00:00,1970-01-01T08:11:34,ME23N
010,EINKBELEG,0071160694,0063284037,2020-02-03T00:00:00,1970-01-01T15:21:35,ME23N
010,EINKBELEG,0071160694,0063963600,2020-03-04T00:00:00,1970-01-01T15:46:35,ME23N
010,EINKBELEG,0071161696,0065135495,2020-05-15T00:00:00,1970-01-01T10:32:36,ME23N
010,EINKBELEG,0071161696,0065541756,2020-06-17T00:00:00,1970-01-01T14:48:51,ME23N
010,EINKBELEG,0071161696,0065677826,2020-06-24T00:00:00,1970-01-01T07:16:11,ME23N
010,EINKBELEG,0071162990,0070768310,2021-07-01T00:00:00,1970-01-01T15:48:24,ME23N
010,EINKBELEG,0071162990,0070776499,2021-07-02T00:00:00,1970-01-01T08:36:40,ME29N
010,EINKBELEG,0071162990,0070877395,2021-07-13T00:00:00,1970-01-01T09:37:55,ME29N
010,EINKBELEG,0071162990,0070877402,2021-07-13T00:00:00,1970-01-01T09:41:14,ME29N
010,EINKBELEG,0071162990,0070985592,2021-07-22T00:00:00,1970-01-01T13:49:07,ME29N
010,EINKBELEG,0071164527,0071849163,2021-10-08T00:00:00,1970-01-01T10:27:06,ME23N
010,EINKBELEG,0071164527,0072564816,2021-11-30T00:00:00,1970-01-01T11:47:16,ME23N
010,EINKBELEG,0071164527,0072564991,2021-11-30T00:00:00,1970-01-01T11:57:39,ME23N
010,EINKBELEG,0071164527,0074829243,2022-05-18T00:00:00,1970-01-01T09:11:26,ME23N
010,EINKBELEG,0071165679,0073710779,2022-02-21T00:00:00,1970-01-01T15:32:42,ME23N
010,EINKBELEG,0071165679,0074857455,2022-05-20T00:00:00,1970-01-01T09:34:26,ME23N
010,EINKBELEG,0072097969,0052190333,2018-02-09T00:00:00,1970-01-01T12:05:57,ME23N
010,EINKBELEG,0072097969,0052190337,2018-02-09T00:00:00,1970-01-01T12:06:08,ME23N
010,EINKBELEG,0072097969,0052685245,2018-03-27T00:00:00,1970-01-01T07:46:13,ME23N
010,EINKBELEG,0072097940,0052190320,2018-02-09T00:00:00,1970-01-01T12:05:35,ME23N
010,EINKBELEG,0072097940,0052190344,2018-02-09T00:00:00,1970-01-01T12:05:26,ME23N
010,EINKBELEG,0072097940,0052725703,2018-03-29T00:00:00,1970-01-01T09:26:58,ME23N
010,EINKBELEG,0072097941,0052190262,2018-02-09T00:00:00,1970-01-01T12:04:49,ME23N
010,EINKBELEG,0072097941,0052190328,2018-02-09T00:00:00,1970-01-01T12:04:58,ME23N
010,EINKBELEG,0072097941,0052287101,2018-02-20T00:00:00,1970-01-01T13:57:07,ME23N
010,EINKBELEG,0072097942,0052190253,2018-02-09T00:00:00,1970-01-01T12:03:39,ME23N
010,EINKBELEG,0072097942,0052190325,2018-02-09T00:00:00,1970-01-01T12:04:22,ME23N
010,EINKBELEG,0072097942,0054443162,2018-07-23T00:00:00,1970-01-01T10:40:01,ME23N
010,EINKBELEG,0072091225,0055164743,2018-09-24T00:00:00,1970-01-01T14:34:28,ME23N
010,EINKBELEG,0072091225,0055164836,2018-09-24T00:00:00,1970-01-01T14:33:59,ME23N
010,EINKBELEG,0072091225,0056005268,2018-11-22T00:00:00,1970-01-01T12:23:49,ME23N
010,EINKBELEG,0072091225,0056060053,2018-11-27T00:00:00,1970-01-01T16:41:48,ME23N
010,EINKBELEG,0072096566,0057218349,2019-02-27T00:00:00,1970-01-01T13:28:10,ME23N
010,EINKBELEG,0072096566,0057218626,2019-02-27T00:00:00,1970-01-01T13:41:13,ME23N
010,EINKBELEG,0072096566,0057252157,2019-02-28T00:00:00,1970-01-01T13:00:14,ME23N
